Rank1,Rank2,Rank3,Rank4,Alg,Prob,Q,PC
6,1,10,2,CMAES,F13,2,1
5,4,9,8,CMAES,F13,2,2
8,5,4,9,CMAES,F13,2,3
3,6,2,10,CMAES,F13,3,1
5,9,4,8,CMAES,F13,3,2
8,4,5,9,CMAES,F13,3,3
6,2,1,5,CMAES,F13,4,1
5,6,9,4,CMAES,F13,4,2
5,8,9,4,CMAES,F13,4,3
6,1,2,3,DE,F13,1,1
2,3,1,4,DE,F13,1,2
2,1,4,8,DE,F13,1,3
6,1,10,2,DE,F13,2,1
2,3,9,8,DE,F13,2,2
2,8,10,6,DE,F13,2,3
6,10,1,5,DE,F13,3,1
9,5,8,4,DE,F13,3,2
9,8,2,5,DE,F13,3,3
6,5,1,2,DE,F13,4,1
5,2,9,8,DE,F13,4,2
5,2,9,8,DE,F13,4,3
6,1,2,3,GA,F13,1,1
2,1,6,3,GA,F13,1,2
2,4,6,10,GA,F13,1,3
6,2,1,3,GA,F13,2,1
2,8,9,5,GA,F13,2,2
10,4,2,9,GA,F13,2,3
6,10,3,2,GA,F13,3,1
9,8,7,5,GA,F13,3,2
10,9,4,7,GA,F13,3,3
2,6,10,3,GA,F13,4,1
8,9,7,10,GA,F13,4,2
8,9,10,7,GA,F13,4,3
1,2,6,3,PSO,F13,1,1
1,9,2,6,PSO,F13,1,2
9,2,7,5,PSO,F13,1,3
2,1,6,3,PSO,F13,2,1
5,7,10,8,PSO,F13,2,2
7,5,10,9,PSO,F13,2,3
2,3,10,6,PSO,F13,3,1
5,10,8,7,PSO,F13,3,2
7,10,8,5,PSO,F13,3,3
6,2,10,3,PSO,F13,4,1
5,8,10,7,PSO,F13,4,2
5,8,10,7,PSO,F13,4,3
1,2,6,3,CMAES,F14,1,1
9,8,1,2,CMAES,F14,1,2
10,9,2,7,CMAES,F14,1,3
6,1,2,3,CMAES,F14,2,1
8,5,10,7,CMAES,F14,2,2
10,4,7,2,CMAES,F14,2,3
6,10,2,1,CMAES,F14,3,1
8,5,10,4,CMAES,F14,3,2
4,10,8,7,CMAES,F14,3,3
6,1,2,3,CMAES,F14,4,1
8,5,9,7,CMAES,F14,4,2
4,8,7,5,CMAES,F14,4,3
6,1,2,3,DE,F14,1,1
2,1,8,3,DE,F14,1,2
2,1,3,4,DE,F14,1,3
6,1,2,3,DE,F14,2,1
2,1,8,3,DE,F14,2,2
2,1,3,4,DE,F14,2,3
6,10,2,1,DE,F14,3,1
2,8,10,5,DE,F14,3,2
2,10,7,6,DE,F14,3,3
6,10,2,1,DE,F14,4,1
8,2,9,5,DE,F14,4,2
7,9,2,4,DE,F14,4,3
6,1,2,3,GA,F14,1,1
1,2,3,8,GA,F14,1,2
2,1,3,4,GA,F14,1,3
6,2,1,3,GA,F14,2,1
2,1,3,6,GA,F14,2,2
2,1,4,3,GA,F14,2,3
6,2,10,3,GA,F14,3,1
8,9,2,3,GA,F14,3,2
4,9,10,7,GA,F14,3,3
6,10,3,5,GA,F14,4,1
8,9,5,7,GA,F14,4,2
4,9,7,5,GA,F14,4,3
1,2,6,3,PSO,F14,1,1
1,2,6,9,PSO,F14,1,2
9,7,3,5,PSO,F14,1,3
1,2,6,3,PSO,F14,2,1
1,2,10,8,PSO,F14,2,2
7,5,10,9,PSO,F14,2,3
2,6,1,10,PSO,F14,3,1
8,10,5,7,PSO,F14,3,2
5,7,10,4,PSO,F14,3,3
6,2,10,3,PSO,F14,4,1
8,5,4,7,PSO,F14,4,2
5,7,4,8,PSO,F14,4,3
1,2,6,3,CMAES,F15,1,1
9,2,6,3,CMAES,F15,1,2
9,7,10,4,CMAES,F15,1,3
1,2,6,3,CMAES,F15,2,1
5,4,8,9,CMAES,F15,2,2
7,4,10,5,CMAES,F15,2,3
6,2,1,3,CMAES,F15,3,1
4,8,5,9,CMAES,F15,3,2
4,7,8,5,CMAES,F15,3,3
2,1,6,3,CMAES,F15,4,1
5,4,8,7,CMAES,F15,4,2
7,4,5,8,CMAES,F15,4,3
1,6,2,3,DE,F15,1,1
1,6,2,3,DE,F15,1,2
1,2,6,3,DE,F15,1,3
1,2,6,3,DE,F15,2,1
1,6,2,3,DE,F15,2,2
1,2,6,3,DE,F15,2,3
1,2,6,3,DE,F15,3,1
1,6,2,3,DE,F15,3,2
1,2,6,3,DE,F15,3,3
1,3,2,6,DE,F15,4,1
1,6,4,2,DE,F15,4,2
1,4,2,5,DE,F15,4,3
1,2,6,3,GA,F15,1,1
2,1,6,3,GA,F15,1,2
2,6,1,3,GA,F15,1,3
1,2,6,3,GA,F15,2,1
2,1,3,6,GA,F15,2,2
2,1,3,6,GA,F15,2,3
1,6,2,3,GA,F15,3,1
5,8,10,7,GA,F15,3,2
7,4,9,5,GA,F15,3,3
1,6,5,4,GA,F15,4,1
5,8,4,10,GA,F15,4,2
9,7,4,5,GA,F15,4,3
1,2,6,3,PSO,F15,1,1
6,2,1,9,PSO,F15,1,2
6,9,1,2,PSO,F15,1,3
1,2,6,3,PSO,F15,2,1
6,1,2,3,PSO,F15,2,2
1,9,6,2,PSO,F15,2,3
1,2,6,3,PSO,F15,3,1
8,3,4,9,PSO,F15,3,2
5,7,8,4,PSO,F15,3,3
1,2,6,5,PSO,F15,4,1
9,8,5,4,PSO,F15,4,2
7,5,8,4,PSO,F15,4,3
6,8,7,9,CMAES,F16,1,1
10,7,5,3,CMAES,F16,1,2
5,7,10,3,CMAES,F16,1,3
7,6,8,9,CMAES,F16,2,1
7,10,9,4,CMAES,F16,2,2
7,4,9,3,CMAES,F16,2,3
7,4,8,6,CMAES,F16,3,1
4,7,9,10,CMAES,F16,3,2
7,4,9,10,CMAES,F16,3,3
7,6,4,8,CMAES,F16,4,1
4,7,9,10,CMAES,F16,4,2
7,4,9,10,CMAES,F16,4,3
9,3,10,2,DE,F16,1,1
10,1,9,2,DE,F16,1,2
3,8,9,10,DE,F16,1,3
3,9,2,10,DE,F16,2,1
1,2,9,3,DE,F16,2,2
3,8,5,9,DE,F16,2,3
7,6,8,2,DE,F16,3,1
5,10,2,7,DE,F16,3,2
5,8,4,6,DE,F16,3,3
7,6,9,10,DE,F16,4,1
1,10,5,7,DE,F16,4,2
5,3,9,8,DE,F16,4,3
4,5,2,1,GA,F16,1,1
5,7,10,4,GA,F16,1,2
8,6,9,10,GA,F16,1,3
4,1,3,2,GA,F16,2,1
7,5,6,10,GA,F16,2,2
8,9,6,7,GA,F16,2,3
3,4,1,2,GA,F16,3,1
7,1,5,3,GA,F16,3,2
8,9,7,6,GA,F16,3,3
3,4,2,1,GA,F16,4,1
7,2,5,9,GA,F16,4,2
8,9,7,6,GA,F16,4,3
9,2,8,5,PSO,F16,1,1
9,7,5,2,PSO,F16,1,2
5,9,10,1,PSO,F16,1,3
9,8,10,2,PSO,F16,2,1
7,9,6,2,PSO,F16,2,2
10,9,8,7,PSO,F16,2,3
9,8,4,10,PSO,F16,3,1
7,9,6,3,PSO,F16,3,2
9,10,7,8,PSO,F16,3,3
9,4,8,10,PSO,F16,4,1
7,6,4,9,PSO,F16,4,2
7,10,8,6,PSO,F16,4,3
1,2,6,3,CMAES,F17,1,1
7,5,8,9,CMAES,F17,1,2
5,9,10,8,CMAES,F17,1,3
6,3,2,1,CMAES,F17,2,1
7,4,8,5,CMAES,F17,2,2
5,7,4,8,CMAES,F17,2,3
3,6,7,9,CMAES,F17,3,1
4,8,7,5,CMAES,F17,3,2
4,8,5,7,CMAES,F17,3,3
6,2,1,3,CMAES,F17,4,1
8,7,4,5,CMAES,F17,4,2
8,4,7,5,CMAES,F17,4,3
6,1,2,3,DE,F17,1,1
6,2,1,3,DE,F17,1,2
2,1,3,6,DE,F17,1,3
6,3,1,2,DE,F17,2,1
6,3,2,4,DE,F17,2,2
2,3,1,6,DE,F17,2,3
6,3,1,2,DE,F17,3,1
4,7,3,8,DE,F17,3,2
9,3,4,2,DE,F17,3,3
