,Run,Gen,PC,Score,Score4
0,91.0,1.0,0.0,0.588,0.67
1,91.0,1.0,1.0,0.596,0.69
2,91.0,1.0,2.0,0.624,0.65
3,91.0,2.0,0.0,0.602,0.665
4,91.0,2.0,1.0,0.602,0.665
5,91.0,2.0,2.0,0.626,0.64
6,91.0,3.0,0.0,0.626,0.68
7,91.0,3.0,1.0,0.59,0.66
8,91.0,3.0,2.0,0.614,0.66
9,91.0,4.0,0.0,0.63,0.69
10,91.0,4.0,1.0,0.606,0.68
11,91.0,4.0,2.0,0.626,0.68
12,91.0,5.0,0.0,0.63,0.695
13,91.0,5.0,1.0,0.594,0.66
14,91.0,5.0,2.0,0.622,0.665
15,91.0,6.0,0.0,0.626,0.685
16,91.0,6.0,1.0,0.586,0.65
17,91.0,6.0,2.0,0.618,0.695
18,91.0,7.0,0.0,0.628,0.67
19,91.0,7.0,1.0,0.584,0.645
20,91.0,7.0,2.0,0.62,0.69
21,91.0,8.0,0.0,0.624,0.645
22,91.0,8.0,1.0,0.584,0.645
23,91.0,8.0,2.0,0.624,0.695
24,91.0,9.0,0.0,0.616,0.645
25,91.0,9.0,1.0,0.58,0.64
26,91.0,9.0,2.0,0.612,0.675
27,91.0,10.0,0.0,0.62,0.66
28,91.0,10.0,1.0,0.596,0.655
29,91.0,10.0,2.0,0.616,0.675
30,91.0,11.0,0.0,0.606,0.645
31,91.0,11.0,1.0,0.598,0.665
32,91.0,11.0,2.0,0.626,0.69
33,91.0,12.0,0.0,0.608,0.645
34,91.0,12.0,1.0,0.612,0.665
35,91.0,12.0,2.0,0.632,0.695
36,91.0,13.0,0.0,0.608,0.655
37,91.0,13.0,1.0,0.612,0.675
38,91.0,13.0,2.0,0.636,0.7
39,91.0,14.0,0.0,0.626,0.68
40,91.0,14.0,1.0,0.614,0.68
41,91.0,14.0,2.0,0.63,0.695
42,91.0,15.0,0.0,0.626,0.68
43,91.0,15.0,1.0,0.618,0.685
44,91.0,15.0,2.0,0.634,0.69
45,91.0,16.0,0.0,0.626,0.67
46,91.0,16.0,1.0,0.606,0.675
47,91.0,16.0,2.0,0.642,0.69
48,91.0,17.0,0.0,0.648,0.68
49,91.0,17.0,1.0,0.596,0.67
50,91.0,17.0,2.0,0.644,0.695
51,91.0,18.0,0.0,0.646,0.68
52,91.0,18.0,1.0,0.598,0.68
53,91.0,18.0,2.0,0.65,0.7
54,91.0,19.0,0.0,0.634,0.67
55,91.0,19.0,1.0,0.602,0.69
56,91.0,19.0,2.0,0.642,0.69
57,91.0,20.0,0.0,0.638,0.675
58,91.0,20.0,1.0,0.606,0.7
59,91.0,20.0,2.0,0.65,0.7
60,91.0,21.0,0.0,0.636,0.665
61,91.0,21.0,1.0,0.604,0.69
62,91.0,21.0,2.0,0.648,0.7
63,91.0,22.0,0.0,0.634,0.67
64,91.0,22.0,1.0,0.598,0.685
65,91.0,22.0,2.0,0.658,0.705
66,91.0,23.0,0.0,0.63,0.705
67,91.0,23.0,1.0,0.606,0.7
68,91.0,23.0,2.0,0.65,0.7
69,91.0,24.0,0.0,0.63,0.715
70,91.0,24.0,1.0,0.61,0.695
71,91.0,24.0,2.0,0.646,0.695
72,91.0,25.0,0.0,0.624,0.715
73,91.0,25.0,1.0,0.612,0.695
74,91.0,25.0,2.0,0.644,0.705
75,91.0,26.0,0.0,0.624,0.715
76,91.0,26.0,1.0,0.612,0.695
77,91.0,26.0,2.0,0.644,0.705
78,91.0,27.0,0.0,0.624,0.715
79,91.0,27.0,1.0,0.612,0.695
80,91.0,27.0,2.0,0.644,0.705
81,91.0,28.0,0.0,0.626,0.715
82,91.0,28.0,1.0,0.614,0.7
83,91.0,28.0,2.0,0.654,0.71
84,91.0,29.0,0.0,0.61,0.725
85,91.0,29.0,1.0,0.61,0.69
86,91.0,29.0,2.0,0.626,0.695
87,91.0,30.0,0.0,0.61,0.725
88,91.0,30.0,1.0,0.61,0.69
89,91.0,30.0,2.0,0.626,0.695
