,Run,Gen,PC,Score,Score4
0,71.0,1.0,0.0,0.628,0.745
1,71.0,1.0,1.0,0.62,0.71
2,71.0,1.0,2.0,0.568,0.61
3,71.0,2.0,0.0,0.64,0.725
4,71.0,2.0,1.0,0.576,0.635
5,71.0,2.0,2.0,0.56,0.62
6,71.0,3.0,0.0,0.664,0.785
7,71.0,3.0,1.0,0.568,0.615
8,71.0,3.0,2.0,0.572,0.62
9,71.0,4.0,0.0,0.662,0.745
10,71.0,4.0,1.0,0.586,0.64
11,71.0,4.0,2.0,0.566,0.64
12,71.0,5.0,0.0,0.65,0.735
13,71.0,5.0,1.0,0.566,0.645
14,71.0,5.0,2.0,0.566,0.62
15,71.0,6.0,0.0,0.668,0.795
16,71.0,6.0,1.0,0.588,0.675
17,71.0,6.0,2.0,0.588,0.695
18,71.0,7.0,0.0,0.686,0.71
19,71.0,7.0,1.0,0.57,0.615
20,71.0,7.0,2.0,0.582,0.67
21,71.0,8.0,0.0,0.682,0.74
22,71.0,8.0,1.0,0.598,0.64
23,71.0,8.0,2.0,0.574,0.655
24,71.0,9.0,0.0,0.718,0.75
25,71.0,9.0,1.0,0.598,0.625
26,71.0,9.0,2.0,0.586,0.715
27,71.0,10.0,0.0,0.718,0.68
28,71.0,10.0,1.0,0.598,0.61
29,71.0,10.0,2.0,0.598,0.745
30,71.0,11.0,0.0,0.706,0.655
31,71.0,11.0,1.0,0.582,0.6
32,71.0,11.0,2.0,0.574,0.65
33,71.0,12.0,0.0,0.694,0.645
34,71.0,12.0,1.0,0.602,0.615
35,71.0,12.0,2.0,0.57,0.645
36,71.0,13.0,0.0,0.654,0.64
37,71.0,13.0,1.0,0.594,0.68
38,71.0,13.0,2.0,0.582,0.67
39,71.0,14.0,0.0,0.632,0.605
40,71.0,14.0,1.0,0.584,0.67
41,71.0,14.0,2.0,0.56,0.665
42,71.0,15.0,0.0,0.604,0.615
43,71.0,15.0,1.0,0.616,0.73
44,71.0,15.0,2.0,0.548,0.63
45,71.0,16.0,0.0,0.61,0.64
46,71.0,16.0,1.0,0.61,0.725
47,71.0,16.0,2.0,0.578,0.65
48,71.0,17.0,0.0,0.636,0.66
49,71.0,17.0,1.0,0.6,0.685
50,71.0,17.0,2.0,0.564,0.64
51,71.0,18.0,0.0,0.612,0.68
52,71.0,18.0,1.0,0.568,0.635
53,71.0,18.0,2.0,0.62,0.68
54,71.0,19.0,0.0,0.628,0.66
55,71.0,19.0,1.0,0.604,0.665
56,71.0,19.0,2.0,0.612,0.69
57,71.0,20.0,0.0,0.63,0.675
58,71.0,20.0,1.0,0.65,0.65
59,71.0,20.0,2.0,0.554,0.655
60,71.0,21.0,0.0,0.636,0.675
61,71.0,21.0,1.0,0.624,0.685
62,71.0,21.0,2.0,0.588,0.64
63,71.0,22.0,0.0,0.588,0.65
64,71.0,22.0,1.0,0.6,0.615
65,71.0,22.0,2.0,0.612,0.65
66,71.0,23.0,0.0,0.642,0.64
67,71.0,23.0,1.0,0.602,0.64
68,71.0,23.0,2.0,0.654,0.735
69,71.0,24.0,0.0,0.664,0.66
70,71.0,24.0,1.0,0.58,0.645
71,71.0,24.0,2.0,0.604,0.74
72,71.0,25.0,0.0,0.688,0.685
73,71.0,25.0,1.0,0.596,0.635
74,71.0,25.0,2.0,0.628,0.73
75,71.0,26.0,0.0,0.666,0.695
76,71.0,26.0,1.0,0.622,0.68
77,71.0,26.0,2.0,0.634,0.755
78,71.0,27.0,0.0,0.638,0.68
79,71.0,27.0,1.0,0.598,0.64
80,71.0,27.0,2.0,0.638,0.77
81,71.0,28.0,0.0,0.638,0.66
82,71.0,28.0,1.0,0.594,0.67
83,71.0,28.0,2.0,0.654,0.755
84,71.0,29.0,0.0,0.63,0.66
85,71.0,29.0,1.0,0.598,0.645
86,71.0,29.0,2.0,0.642,0.78
87,71.0,30.0,0.0,0.646,0.675
88,71.0,30.0,1.0,0.618,0.665
89,71.0,30.0,2.0,0.634,0.765
90,71.0,31.0,0.0,0.66,0.69
91,71.0,31.0,1.0,0.592,0.65
92,71.0,31.0,2.0,0.608,0.735
93,71.0,32.0,0.0,0.65,0.685
94,71.0,32.0,1.0,0.594,0.665
95,71.0,32.0,2.0,0.57,0.725
96,71.0,33.0,0.0,0.622,0.685
97,71.0,33.0,1.0,0.602,0.655
98,71.0,33.0,2.0,0.566,0.715
99,71.0,34.0,0.0,0.616,0.68
100,71.0,34.0,1.0,0.6,0.67
101,71.0,34.0,2.0,0.548,0.695
102,71.0,35.0,0.0,0.636,0.66
103,71.0,35.0,1.0,0.62,0.66
104,71.0,35.0,2.0,0.584,0.68
105,71.0,36.0,0.0,0.684,0.715
106,71.0,36.0,1.0,0.588,0.63
107,71.0,36.0,2.0,0.536,0.605
108,71.0,37.0,0.0,0.64,0.73
109,71.0,37.0,1.0,0.628,0.625
110,71.0,37.0,2.0,0.564,0.65
111,71.0,38.0,0.0,0.608,0.645
112,71.0,38.0,1.0,0.648,0.69
113,71.0,38.0,2.0,0.56,0.665
114,71.0,39.0,0.0,0.654,0.73
115,71.0,39.0,1.0,0.638,0.68
116,71.0,39.0,2.0,0.602,0.72
117,71.0,40.0,0.0,0.644,0.675
118,71.0,40.0,1.0,0.664,0.685
119,71.0,40.0,2.0,0.536,0.675
120,71.0,41.0,0.0,0.628,0.7
121,71.0,41.0,1.0,0.628,0.65
122,71.0,41.0,2.0,0.564,0.655
123,71.0,42.0,0.0,0.622,0.67
124,71.0,42.0,1.0,0.69,0.715
125,71.0,42.0,2.0,0.514,0.61
126,71.0,43.0,0.0,0.652,0.7
127,71.0,43.0,1.0,0.628,0.64
128,71.0,43.0,2.0,0.548,0.67
129,71.0,44.0,0.0,0.624,0.65
130,71.0,44.0,1.0,0.644,0.72
131,71.0,44.0,2.0,0.544,0.62
132,71.0,45.0,0.0,0.656,0.695
