,Run,Gen,PC,Score,Score4
126,91.0,43.0,0.0,0.604,0.71
127,91.0,43.0,1.0,0.628,0.585
128,91.0,43.0,2.0,0.624,0.66
129,91.0,44.0,0.0,0.602,0.715
130,91.0,44.0,1.0,0.622,0.615
131,91.0,44.0,2.0,0.626,0.665
132,91.0,45.0,0.0,0.6,0.71
133,91.0,45.0,1.0,0.624,0.615
134,91.0,45.0,2.0,0.62,0.66
135,91.0,46.0,0.0,0.596,0.695
136,91.0,46.0,1.0,0.616,0.63
137,91.0,46.0,2.0,0.624,0.66
138,91.0,47.0,0.0,0.598,0.695
139,91.0,47.0,1.0,0.618,0.635
140,91.0,47.0,2.0,0.622,0.655
141,91.0,48.0,0.0,0.594,0.685
142,91.0,48.0,1.0,0.61,0.6
143,91.0,48.0,2.0,0.634,0.685
144,91.0,49.0,0.0,0.594,0.685
145,91.0,49.0,1.0,0.61,0.6
146,91.0,49.0,2.0,0.634,0.685
147,91.0,50.0,0.0,0.594,0.68
148,91.0,50.0,1.0,0.606,0.6
149,91.0,50.0,2.0,0.638,0.69
150,91.0,51.0,0.0,0.588,0.67
151,91.0,51.0,1.0,0.62,0.63
152,91.0,51.0,2.0,0.636,0.685
153,91.0,52.0,0.0,0.592,0.68
154,91.0,52.0,1.0,0.624,0.635
155,91.0,52.0,2.0,0.632,0.69
156,91.0,53.0,0.0,0.602,0.69
157,91.0,53.0,1.0,0.622,0.64
158,91.0,53.0,2.0,0.634,0.685
159,91.0,54.0,0.0,0.604,0.7
160,91.0,54.0,1.0,0.632,0.63
161,91.0,54.0,2.0,0.64,0.685
162,91.0,55.0,0.0,0.602,0.715
163,91.0,55.0,1.0,0.63,0.61
164,91.0,55.0,2.0,0.646,0.7
165,91.0,56.0,0.0,0.604,0.715
166,91.0,56.0,1.0,0.632,0.615
167,91.0,56.0,2.0,0.636,0.69
168,91.0,57.0,0.0,0.61,0.73
169,91.0,57.0,1.0,0.634,0.61
170,91.0,57.0,2.0,0.642,0.695
171,91.0,58.0,0.0,0.62,0.745
172,91.0,58.0,1.0,0.64,0.635
173,91.0,58.0,2.0,0.632,0.675
