,Run,Gen,PC,Score,Score4
126,91.0,43.0,0.0,0.498,0.665
127,91.0,43.0,1.0,0.902,1.0
128,91.0,43.0,2.0,0.698,0.75
129,91.0,44.0,0.0,0.5,0.71
130,91.0,44.0,1.0,0.9,1.0
131,91.0,44.0,2.0,0.7,0.75
132,91.0,45.0,0.0,0.5,0.65
133,91.0,45.0,1.0,0.9,1.0
134,91.0,45.0,2.0,0.7,0.75
135,91.0,46.0,0.0,0.5,0.59
136,91.0,46.0,1.0,0.9,1.0
137,91.0,46.0,2.0,0.7,0.75
138,91.0,47.0,0.0,0.504,0.455
139,91.0,47.0,1.0,0.896,1.0
140,91.0,47.0,2.0,0.696,0.745
141,91.0,48.0,0.0,0.502,0.565
142,91.0,48.0,1.0,0.898,1.0
143,91.0,48.0,2.0,0.698,0.75
144,91.0,49.0,0.0,0.506,0.655
145,91.0,49.0,1.0,0.894,0.995
146,91.0,49.0,2.0,0.698,0.75
147,91.0,50.0,0.0,0.516,0.595
148,91.0,50.0,1.0,0.884,0.99
149,91.0,50.0,2.0,0.692,0.745
150,91.0,51.0,0.0,0.524,0.47
151,91.0,51.0,1.0,0.876,0.98
152,91.0,51.0,2.0,0.692,0.755
153,91.0,52.0,0.0,0.516,0.43
154,91.0,52.0,1.0,0.884,0.985
155,91.0,52.0,2.0,0.696,0.76
156,91.0,53.0,0.0,0.516,0.43
157,91.0,53.0,1.0,0.88,1.0
158,91.0,53.0,2.0,0.68,0.74
159,91.0,54.0,0.0,0.53,0.345
160,91.0,54.0,1.0,0.87,1.0
161,91.0,54.0,2.0,0.67,0.75
162,91.0,55.0,0.0,0.544,0.36
163,91.0,55.0,1.0,0.856,1.0
164,91.0,55.0,2.0,0.656,0.75
165,91.0,56.0,0.0,0.536,0.34
166,91.0,56.0,1.0,0.864,1.0
167,91.0,56.0,2.0,0.664,0.75
168,91.0,57.0,0.0,0.512,0.29
169,91.0,57.0,1.0,0.884,1.0
170,91.0,57.0,2.0,0.684,0.75
171,91.0,58.0,0.0,0.5,0.27
172,91.0,58.0,1.0,0.892,1.0
173,91.0,58.0,2.0,0.692,0.75
174,91.0,59.0,0.0,0.502,0.29
175,91.0,59.0,1.0,0.882,1.0
176,91.0,59.0,2.0,0.682,0.745
177,91.0,60.0,0.0,0.506,0.32
178,91.0,60.0,1.0,0.87,1.0
179,91.0,60.0,2.0,0.67,0.745
180,91.0,61.0,0.0,0.514,0.33
181,91.0,61.0,1.0,0.866,1.0
182,91.0,61.0,2.0,0.662,0.745
183,91.0,62.0,0.0,0.514,0.34
184,91.0,62.0,1.0,0.858,1.0
185,91.0,62.0,2.0,0.646,0.72
186,91.0,63.0,0.0,0.512,0.35
187,91.0,63.0,1.0,0.848,1.0
188,91.0,63.0,2.0,0.624,0.705
189,91.0,64.0,0.0,0.526,0.385
190,91.0,64.0,1.0,0.834,1.0
191,91.0,64.0,2.0,0.606,0.68
192,91.0,65.0,0.0,0.54,0.4
193,91.0,65.0,1.0,0.82,1.0
194,91.0,65.0,2.0,0.58,0.645
195,91.0,66.0,0.0,0.55,0.44
196,91.0,66.0,1.0,0.798,1.0
197,91.0,66.0,2.0,0.558,0.635
198,91.0,67.0,0.0,0.59,0.52
199,91.0,67.0,1.0,0.774,1.0
200,91.0,67.0,2.0,0.558,0.655
201,91.0,68.0,0.0,0.608,0.535
202,91.0,68.0,1.0,0.776,0.995
203,91.0,68.0,2.0,0.556,0.675
204,91.0,69.0,0.0,0.618,0.555
205,91.0,69.0,1.0,0.766,0.99
206,91.0,69.0,2.0,0.546,0.635
207,91.0,70.0,0.0,0.63,0.565
208,91.0,70.0,1.0,0.766,0.985
209,91.0,70.0,2.0,0.566,0.715
210,91.0,71.0,0.0,0.65,0.63
211,91.0,71.0,1.0,0.734,0.985
212,91.0,71.0,2.0,0.546,0.68
213,91.0,72.0,0.0,0.674,0.685
214,91.0,72.0,1.0,0.702,0.97
215,91.0,72.0,2.0,0.542,0.67
216,91.0,73.0,0.0,0.684,0.7
217,91.0,73.0,1.0,0.692,0.96
218,91.0,73.0,2.0,0.548,0.62
219,91.0,74.0,0.0,0.7,0.71
220,91.0,74.0,1.0,0.688,0.945
221,91.0,74.0,2.0,0.536,0.63
222,91.0,75.0,0.0,0.71,0.735
223,91.0,75.0,1.0,0.67,0.935
224,91.0,75.0,2.0,0.53,0.565
225,91.0,76.0,0.0,0.722,0.775
226,91.0,76.0,1.0,0.642,0.925
227,91.0,76.0,2.0,0.55,0.505
228,91.0,77.0,0.0,0.722,0.745
229,91.0,77.0,1.0,0.646,0.9
230,91.0,77.0,2.0,0.554,0.48
231,91.0,78.0,0.0,0.72,0.75
232,91.0,78.0,1.0,0.656,0.92
233,91.0,78.0,2.0,0.544,0.52
234,91.0,79.0,0.0,0.716,0.78
235,91.0,79.0,1.0,0.64,0.935
236,91.0,79.0,2.0,0.544,0.6
237,91.0,80.0,0.0,0.736,0.815
238,91.0,80.0,1.0,0.62,0.92
239,91.0,80.0,2.0,0.556,0.645
240,91.0,81.0,0.0,0.764,0.845
241,91.0,81.0,1.0,0.6,0.89
242,91.0,81.0,2.0,0.584,0.615
243,91.0,82.0,0.0,0.742,0.82
244,91.0,82.0,1.0,0.618,0.915
245,91.0,82.0,2.0,0.558,0.55
246,91.0,83.0,0.0,0.69,0.78
247,91.0,83.0,1.0,0.646,0.975
248,91.0,83.0,2.0,0.55,0.44
249,91.0,84.0,0.0,0.682,0.76
250,91.0,84.0,1.0,0.67,0.995
251,91.0,84.0,2.0,0.526,0.48
252,91.0,85.0,0.0,0.686,0.775
253,91.0,85.0,1.0,0.666,1.0
254,91.0,85.0,2.0,0.534,0.515
255,91.0,86.0,0.0,0.698,0.795
256,91.0,86.0,1.0,0.658,0.995
257,91.0,86.0,2.0,0.538,0.49
258,91.0,87.0,0.0,0.736,0.845
259,91.0,87.0,1.0,0.656,0.995
260,91.0,87.0,2.0,0.528,0.495
261,91.0,88.0,0.0,0.766,0.905
262,91.0,88.0,1.0,0.634,0.99
263,91.0,88.0,2.0,0.53,0.535
264,91.0,89.0,0.0,0.788,0.96
265,91.0,89.0,1.0,0.612,0.99
266,91.0,89.0,2.0,0.516,0.53
267,91.0,90.0,0.0,0.78,0.94
268,91.0,90.0,1.0,0.616,0.985
269,91.0,90.0,2.0,0.48,0.555
270,91.0,91.0,0.0,0.802,0.99
271,91.0,91.0,1.0,0.598,0.965
272,91.0,91.0,2.0,0.474,0.525
273,91.0,92.0,0.0,0.804,0.995
274,91.0,92.0,1.0,0.588,0.935
275,91.0,92.0,2.0,0.48,0.525
276,91.0,93.0,0.0,0.822,1.0
277,91.0,93.0,1.0,0.578,0.895
278,91.0,93.0,2.0,0.466,0.555
279,91.0,94.0,0.0,0.818,1.0
280,91.0,94.0,1.0,0.582,0.895
281,91.0,94.0,2.0,0.462,0.545
282,91.0,95.0,0.0,0.824,1.0
283,91.0,95.0,1.0,0.568,0.84
284,91.0,95.0,2.0,0.496,0.57
285,91.0,96.0,0.0,0.834,1.0
286,91.0,96.0,1.0,0.566,0.825
287,91.0,96.0,2.0,0.51,0.585
288,91.0,97.0,0.0,0.832,1.0
289,91.0,97.0,1.0,0.568,0.86
290,91.0,97.0,2.0,0.512,0.58
291,91.0,98.0,0.0,0.852,1.0
292,91.0,98.0,1.0,0.548,0.81
293,91.0,98.0,2.0,0.576,0.63
294,91.0,99.0,0.0,0.864,1.0
295,91.0,99.0,1.0,0.536,0.83
296,91.0,99.0,2.0,0.62,0.66
297,91.0,100.0,0.0,0.892,1.0
298,91.0,100.0,1.0,0.504,0.765
299,91.0,100.0,2.0,0.684,0.74
300,91.0,101.0,0.0,0.898,1.0
301,91.0,101.0,1.0,0.498,0.74
302,91.0,101.0,2.0,0.702,0.755
303,91.0,102.0,0.0,0.894,1.0
304,91.0,102.0,1.0,0.498,0.725
305,91.0,102.0,2.0,0.702,0.76
306,91.0,103.0,0.0,0.886,1.0
307,91.0,103.0,1.0,0.49,0.695
308,91.0,103.0,2.0,0.71,0.78
309,91.0,104.0,0.0,0.882,1.0
310,91.0,104.0,1.0,0.486,0.645
311,91.0,104.0,2.0,0.714,0.79
312,91.0,105.0,0.0,0.874,1.0
313,91.0,105.0,1.0,0.482,0.57
314,91.0,105.0,2.0,0.718,0.805
315,91.0,106.0,0.0,0.87,1.0
316,91.0,106.0,1.0,0.474,0.44
317,91.0,106.0,2.0,0.73,0.825
318,91.0,107.0,0.0,0.896,1.0
319,91.0,107.0,1.0,0.504,0.27
320,91.0,107.0,2.0,0.704,0.76
321,91.0,108.0,0.0,0.898,1.0
322,91.0,108.0,1.0,0.502,0.27
323,91.0,108.0,2.0,0.702,0.75
324,91.0,109.0,0.0,0.9,1.0
325,91.0,109.0,1.0,0.5,0.25
326,91.0,109.0,2.0,0.7,0.75
327,91.0,110.0,0.0,0.898,1.0
328,91.0,110.0,1.0,0.502,0.255
329,91.0,110.0,2.0,0.698,0.75
330,91.0,111.0,0.0,0.896,1.0
331,91.0,111.0,1.0,0.504,0.26
332,91.0,111.0,2.0,0.696,0.75
333,91.0,112.0,0.0,0.894,1.0
334,91.0,112.0,1.0,0.506,0.265
335,91.0,112.0,2.0,0.694,0.75
336,91.0,113.0,0.0,0.888,1.0
337,91.0,113.0,1.0,0.512,0.28
338,91.0,113.0,2.0,0.688,0.75
339,91.0,114.0,0.0,0.886,1.0
340,91.0,114.0,1.0,0.514,0.285
341,91.0,114.0,2.0,0.686,0.75
342,91.0,115.0,0.0,0.882,1.0
343,91.0,115.0,1.0,0.522,0.305
344,91.0,115.0,2.0,0.678,0.745
345,91.0,116.0,0.0,0.876,1.0
346,91.0,116.0,1.0,0.528,0.32
347,91.0,116.0,2.0,0.672,0.745
348,91.0,117.0,0.0,0.868,1.0
349,91.0,117.0,1.0,0.54,0.345
350,91.0,117.0,2.0,0.664,0.74
351,91.0,118.0,0.0,0.842,1.0
352,91.0,118.0,1.0,0.57,0.415
353,91.0,118.0,2.0,0.638,0.735
354,91.0,119.0,0.0,0.842,1.0
355,91.0,119.0,1.0,0.57,0.405
356,91.0,119.0,2.0,0.646,0.735
357,91.0,120.0,0.0,0.828,1.0
358,91.0,120.0,1.0,0.584,0.425
359,91.0,120.0,2.0,0.644,0.735
360,91.0,121.0,0.0,0.776,1.0
361,91.0,121.0,1.0,0.636,0.505
362,91.0,121.0,2.0,0.632,0.74
363,91.0,122.0,0.0,0.76,1.0
364,91.0,122.0,1.0,0.656,0.51
365,91.0,122.0,2.0,0.644,0.735
366,91.0,123.0,0.0,0.72,1.0
367,91.0,123.0,1.0,0.692,0.5
368,91.0,123.0,2.0,0.68,0.745
369,91.0,124.0,0.0,0.714,1.0
370,91.0,124.0,1.0,0.714,0.53
371,91.0,124.0,2.0,0.67,0.72
372,91.0,125.0,0.0,0.73,1.0
373,91.0,125.0,1.0,0.73,0.575
374,91.0,125.0,2.0,0.63,0.675
375,91.0,126.0,0.0,0.744,1.0
376,91.0,126.0,1.0,0.744,0.61
377,91.0,126.0,2.0,0.612,0.64
378,91.0,127.0,0.0,0.738,1.0
379,91.0,127.0,1.0,0.738,0.595
380,91.0,127.0,2.0,0.658,0.655
381,91.0,128.0,0.0,0.752,1.0
382,91.0,128.0,1.0,0.756,0.635
383,91.0,128.0,2.0,0.648,0.62
384,91.0,129.0,0.0,0.762,1.0
385,91.0,129.0,1.0,0.766,0.66
386,91.0,129.0,2.0,0.638,0.595
387,91.0,130.0,0.0,0.784,1.0
388,91.0,130.0,1.0,0.78,0.705
389,91.0,130.0,2.0,0.616,0.545
390,91.0,131.0,0.0,0.786,1.0
391,91.0,131.0,1.0,0.782,0.71
392,91.0,131.0,2.0,0.614,0.54
393,91.0,132.0,0.0,0.798,1.0
394,91.0,132.0,1.0,0.798,0.745
395,91.0,132.0,2.0,0.602,0.505
396,91.0,133.0,0.0,0.8,1.0
397,91.0,133.0,1.0,0.8,0.75
398,91.0,133.0,2.0,0.6,0.5
399,91.0,134.0,0.0,0.8,1.0
400,91.0,134.0,1.0,0.8,0.75
401,91.0,134.0,2.0,0.6,0.5
402,91.0,135.0,0.0,0.8,1.0
403,91.0,135.0,1.0,0.8,0.75
404,91.0,135.0,2.0,0.6,0.5
405,91.0,136.0,0.0,0.8,1.0
406,91.0,136.0,1.0,0.8,0.75
407,91.0,136.0,2.0,0.6,0.5
408,91.0,137.0,0.0,0.8,1.0
409,91.0,137.0,1.0,0.8,0.75
410,91.0,137.0,2.0,0.6,0.5
411,91.0,138.0,0.0,0.8,1.0
412,91.0,138.0,1.0,0.8,0.75
413,91.0,138.0,2.0,0.6,0.5
414,91.0,139.0,0.0,0.8,1.0
415,91.0,139.0,1.0,0.8,0.75
416,91.0,139.0,2.0,0.6,0.5
417,91.0,140.0,0.0,0.8,1.0
418,91.0,140.0,1.0,0.8,0.75
419,91.0,140.0,2.0,0.6,0.5
420,91.0,141.0,0.0,0.798,1.0
421,91.0,141.0,1.0,0.802,0.75
422,91.0,141.0,2.0,0.602,0.505
423,91.0,142.0,0.0,0.798,1.0
424,91.0,142.0,1.0,0.802,0.75
425,91.0,142.0,2.0,0.602,0.505
426,91.0,143.0,0.0,0.798,1.0
427,91.0,143.0,1.0,0.802,0.75
428,91.0,143.0,2.0,0.602,0.505
429,91.0,144.0,0.0,0.8,1.0
430,91.0,144.0,1.0,0.8,0.75
431,91.0,144.0,2.0,0.6,0.5
432,91.0,145.0,0.0,0.8,1.0
433,91.0,145.0,1.0,0.8,0.75
434,91.0,145.0,2.0,0.6,0.5
435,91.0,146.0,0.0,0.8,1.0
436,91.0,146.0,1.0,0.8,0.75
437,91.0,146.0,2.0,0.6,0.5
438,91.0,147.0,0.0,0.8,1.0
439,91.0,147.0,1.0,0.8,0.75
440,91.0,147.0,2.0,0.6,0.5
441,91.0,148.0,0.0,0.8,1.0
442,91.0,148.0,1.0,0.8,0.75
443,91.0,148.0,2.0,0.6,0.5
444,91.0,149.0,0.0,0.8,1.0
445,91.0,149.0,1.0,0.8,0.75
446,91.0,149.0,2.0,0.6,0.5
447,91.0,150.0,0.0,0.8,1.0
448,91.0,150.0,1.0,0.8,0.75
449,91.0,150.0,2.0,0.6,0.5
450,91.0,151.0,0.0,0.8,1.0
451,91.0,151.0,1.0,0.8,0.75
452,91.0,151.0,2.0,0.6,0.5
453,91.0,152.0,0.0,0.8,1.0
454,91.0,152.0,1.0,0.8,0.75
455,91.0,152.0,2.0,0.6,0.5
456,91.0,153.0,0.0,0.8,1.0
457,91.0,153.0,1.0,0.8,0.75
458,91.0,153.0,2.0,0.6,0.5
459,91.0,154.0,0.0,0.8,1.0
460,91.0,154.0,1.0,0.8,0.75
461,91.0,154.0,2.0,0.6,0.5
462,91.0,155.0,0.0,0.798,1.0
463,91.0,155.0,1.0,0.802,0.755
464,91.0,155.0,2.0,0.598,0.5
465,91.0,156.0,0.0,0.8,1.0
466,91.0,156.0,1.0,0.8,0.75
467,91.0,156.0,2.0,0.6,0.5
