,Run,Gen,PC,Score,Score4
0,91.0,1.0,0.0,0.666,0.83
1,91.0,1.0,1.0,0.59,0.585
2,91.0,1.0,2.0,0.598,0.66
3,91.0,2.0,0.0,0.638,0.76
4,91.0,2.0,1.0,0.646,0.68
5,91.0,2.0,2.0,0.61,0.675
6,91.0,3.0,0.0,0.594,0.695
7,91.0,3.0,1.0,0.77,0.88
8,91.0,3.0,2.0,0.582,0.625
9,91.0,4.0,0.0,0.666,0.725
10,91.0,4.0,1.0,0.79,0.95
11,91.0,4.0,2.0,0.59,0.685
12,91.0,5.0,0.0,0.658,0.695
13,91.0,5.0,1.0,0.79,0.96
14,91.0,5.0,2.0,0.582,0.675
15,91.0,6.0,0.0,0.58,0.605
16,91.0,6.0,1.0,0.808,0.94
17,91.0,6.0,2.0,0.588,0.665
18,91.0,7.0,0.0,0.596,0.635
19,91.0,7.0,1.0,0.784,0.92
20,91.0,7.0,2.0,0.556,0.615
21,91.0,8.0,0.0,0.628,0.705
22,91.0,8.0,1.0,0.728,0.8
23,91.0,8.0,2.0,0.552,0.665
24,91.0,9.0,0.0,0.592,0.67
25,91.0,9.0,1.0,0.728,0.76
26,91.0,9.0,2.0,0.52,0.625
27,91.0,10.0,0.0,0.592,0.67
28,91.0,10.0,1.0,0.728,0.78
29,91.0,10.0,2.0,0.548,0.635
30,91.0,11.0,0.0,0.644,0.7
31,91.0,11.0,1.0,0.708,0.835
32,91.0,11.0,2.0,0.536,0.62
33,91.0,12.0,0.0,0.624,0.66
34,91.0,12.0,1.0,0.696,0.845
35,91.0,12.0,2.0,0.58,0.68
36,91.0,13.0,0.0,0.616,0.64
37,91.0,13.0,1.0,0.668,0.795
38,91.0,13.0,2.0,0.588,0.645
39,91.0,14.0,0.0,0.604,0.65
40,91.0,14.0,1.0,0.652,0.765
41,91.0,14.0,2.0,0.556,0.655
42,91.0,15.0,0.0,0.562,0.62
43,91.0,15.0,1.0,0.606,0.655
44,91.0,15.0,2.0,0.594,0.705
45,91.0,16.0,0.0,0.576,0.625
46,91.0,16.0,1.0,0.608,0.655
47,91.0,16.0,2.0,0.592,0.7
48,91.0,17.0,0.0,0.56,0.6
49,91.0,17.0,1.0,0.596,0.66
50,91.0,17.0,2.0,0.588,0.68
51,91.0,18.0,0.0,0.538,0.565
52,91.0,18.0,1.0,0.59,0.63
53,91.0,18.0,2.0,0.61,0.735
54,91.0,19.0,0.0,0.548,0.56
55,91.0,19.0,1.0,0.588,0.62
56,91.0,19.0,2.0,0.616,0.735
57,91.0,20.0,0.0,0.54,0.545
58,91.0,20.0,1.0,0.576,0.62
59,91.0,20.0,2.0,0.616,0.74
60,91.0,21.0,0.0,0.544,0.575
61,91.0,21.0,1.0,0.6,0.635
62,91.0,21.0,2.0,0.604,0.735
63,91.0,22.0,0.0,0.572,0.595
64,91.0,22.0,1.0,0.58,0.62
65,91.0,22.0,2.0,0.6,0.72
66,91.0,23.0,0.0,0.57,0.565
67,91.0,23.0,1.0,0.57,0.645
68,91.0,23.0,2.0,0.594,0.71
69,91.0,24.0,0.0,0.592,0.6
70,91.0,24.0,1.0,0.588,0.615
71,91.0,24.0,2.0,0.564,0.725
72,91.0,25.0,0.0,0.616,0.605
73,91.0,25.0,1.0,0.62,0.605
74,91.0,25.0,2.0,0.556,0.69
75,91.0,26.0,0.0,0.616,0.615
76,91.0,26.0,1.0,0.584,0.605
77,91.0,26.0,2.0,0.552,0.67
78,91.0,27.0,0.0,0.594,0.62
79,91.0,27.0,1.0,0.582,0.595
80,91.0,27.0,2.0,0.562,0.65
81,91.0,28.0,0.0,0.624,0.665
82,91.0,28.0,1.0,0.568,0.605
83,91.0,28.0,2.0,0.556,0.645
84,91.0,29.0,0.0,0.65,0.64
85,91.0,29.0,1.0,0.594,0.63
86,91.0,29.0,2.0,0.558,0.715
87,91.0,30.0,0.0,0.668,0.66
88,91.0,30.0,1.0,0.556,0.64
89,91.0,30.0,2.0,0.552,0.71
90,91.0,31.0,0.0,0.674,0.71
91,91.0,31.0,1.0,0.586,0.675
92,91.0,31.0,2.0,0.546,0.705
93,91.0,32.0,0.0,0.65,0.7
94,91.0,32.0,1.0,0.594,0.665
95,91.0,32.0,2.0,0.55,0.675
96,91.0,33.0,0.0,0.656,0.7
97,91.0,33.0,1.0,0.608,0.675
98,91.0,33.0,2.0,0.544,0.675
99,91.0,34.0,0.0,0.642,0.72
100,91.0,34.0,1.0,0.606,0.655
101,91.0,34.0,2.0,0.554,0.69
102,91.0,35.0,0.0,0.628,0.715
103,91.0,35.0,1.0,0.636,0.675
104,91.0,35.0,2.0,0.548,0.665
105,91.0,36.0,0.0,0.612,0.7
106,91.0,36.0,1.0,0.66,0.71
107,91.0,36.0,2.0,0.512,0.615
108,91.0,37.0,0.0,0.608,0.69
109,91.0,37.0,1.0,0.676,0.735
110,91.0,37.0,2.0,0.508,0.605
111,91.0,38.0,0.0,0.628,0.73
112,91.0,38.0,1.0,0.68,0.745
113,91.0,38.0,2.0,0.512,0.595
114,91.0,39.0,0.0,0.634,0.73
115,91.0,39.0,1.0,0.67,0.75
116,91.0,39.0,2.0,0.522,0.63
117,91.0,40.0,0.0,0.628,0.73
118,91.0,40.0,1.0,0.692,0.79
119,91.0,40.0,2.0,0.532,0.635
120,91.0,41.0,0.0,0.636,0.74
121,91.0,41.0,1.0,0.696,0.815
122,91.0,41.0,2.0,0.54,0.635
123,91.0,42.0,0.0,0.636,0.735
124,91.0,42.0,1.0,0.688,0.81
125,91.0,42.0,2.0,0.54,0.605
126,91.0,43.0,0.0,0.624,0.74
127,91.0,43.0,1.0,0.712,0.82
128,91.0,43.0,2.0,0.54,0.62
129,91.0,44.0,0.0,0.624,0.735
130,91.0,44.0,1.0,0.732,0.84
131,91.0,44.0,2.0,0.548,0.64
132,91.0,45.0,0.0,0.624,0.745
133,91.0,45.0,1.0,0.72,0.83
134,91.0,45.0,2.0,0.552,0.64
135,91.0,46.0,0.0,0.626,0.755
136,91.0,46.0,1.0,0.71,0.805
137,91.0,46.0,2.0,0.542,0.635
138,91.0,47.0,0.0,0.626,0.76
139,91.0,47.0,1.0,0.706,0.805
140,91.0,47.0,2.0,0.546,0.62
141,91.0,48.0,0.0,0.626,0.785
142,91.0,48.0,1.0,0.71,0.8
143,91.0,48.0,2.0,0.558,0.65
144,91.0,49.0,0.0,0.63,0.825
145,91.0,49.0,1.0,0.706,0.805
146,91.0,49.0,2.0,0.578,0.685
147,91.0,50.0,0.0,0.636,0.835
148,91.0,50.0,1.0,0.712,0.815
149,91.0,50.0,2.0,0.58,0.7
150,91.0,51.0,0.0,0.628,0.85
151,91.0,51.0,1.0,0.716,0.83
152,91.0,51.0,2.0,0.592,0.71
153,91.0,52.0,0.0,0.652,0.85
154,91.0,52.0,1.0,0.74,0.895
155,91.0,52.0,2.0,0.568,0.675
156,91.0,53.0,0.0,0.66,0.86
157,91.0,53.0,1.0,0.728,0.89
158,91.0,53.0,2.0,0.564,0.66
159,91.0,54.0,0.0,0.67,0.87
160,91.0,54.0,1.0,0.738,0.895
161,91.0,54.0,2.0,0.562,0.67
162,91.0,55.0,0.0,0.67,0.87
163,91.0,55.0,1.0,0.746,0.89
164,91.0,55.0,2.0,0.562,0.67
165,91.0,56.0,0.0,0.666,0.87
166,91.0,56.0,1.0,0.746,0.9
167,91.0,56.0,2.0,0.554,0.65
168,91.0,57.0,0.0,0.668,0.875
169,91.0,57.0,1.0,0.748,0.905
170,91.0,57.0,2.0,0.564,0.67
171,91.0,58.0,0.0,0.672,0.88
172,91.0,58.0,1.0,0.756,0.92
173,91.0,58.0,2.0,0.564,0.67
174,91.0,59.0,0.0,0.674,0.885
175,91.0,59.0,1.0,0.75,0.92
176,91.0,59.0,2.0,0.57,0.67
177,91.0,60.0,0.0,0.676,0.895
178,91.0,60.0,1.0,0.748,0.925
179,91.0,60.0,2.0,0.568,0.665
180,91.0,61.0,0.0,0.68,0.905
181,91.0,61.0,1.0,0.744,0.925
182,91.0,61.0,2.0,0.572,0.665
183,91.0,62.0,0.0,0.676,0.905
184,91.0,62.0,1.0,0.752,0.93
185,91.0,62.0,2.0,0.58,0.67
186,91.0,63.0,0.0,0.682,0.92
187,91.0,63.0,1.0,0.75,0.94
188,91.0,63.0,2.0,0.582,0.665
189,91.0,64.0,0.0,0.686,0.925
190,91.0,64.0,1.0,0.75,0.94
191,91.0,64.0,2.0,0.586,0.685
192,91.0,65.0,0.0,0.682,0.925
193,91.0,65.0,1.0,0.746,0.93
194,91.0,65.0,2.0,0.59,0.69
195,91.0,66.0,0.0,0.686,0.93
196,91.0,66.0,1.0,0.754,0.945
197,91.0,66.0,2.0,0.586,0.685
198,91.0,67.0,0.0,0.69,0.93
199,91.0,67.0,1.0,0.75,0.945
200,91.0,67.0,2.0,0.582,0.675
201,91.0,68.0,0.0,0.7,0.94
202,91.0,68.0,1.0,0.744,0.95
203,91.0,68.0,2.0,0.576,0.665
204,91.0,69.0,0.0,0.708,0.94
205,91.0,69.0,1.0,0.736,0.945
206,91.0,69.0,2.0,0.572,0.655
207,91.0,70.0,0.0,0.716,0.945
208,91.0,70.0,1.0,0.736,0.96
209,91.0,70.0,2.0,0.568,0.65
210,91.0,71.0,0.0,0.722,0.955
211,91.0,71.0,1.0,0.738,0.975
212,91.0,71.0,2.0,0.554,0.63
213,91.0,72.0,0.0,0.722,0.965
214,91.0,72.0,1.0,0.734,0.975
215,91.0,72.0,2.0,0.554,0.625
216,91.0,73.0,0.0,0.73,0.965
217,91.0,73.0,1.0,0.726,0.97
218,91.0,73.0,2.0,0.55,0.61
219,91.0,74.0,0.0,0.73,0.965
220,91.0,74.0,1.0,0.726,0.965
221,91.0,74.0,2.0,0.55,0.61
222,91.0,75.0,0.0,0.738,0.965
223,91.0,75.0,1.0,0.722,0.97
224,91.0,75.0,2.0,0.542,0.595
225,91.0,76.0,0.0,0.736,0.96
226,91.0,76.0,1.0,0.724,0.975
227,91.0,76.0,2.0,0.54,0.59
228,91.0,77.0,0.0,0.732,0.96
229,91.0,77.0,1.0,0.728,0.975
230,91.0,77.0,2.0,0.54,0.59
231,91.0,78.0,0.0,0.74,0.975
232,91.0,78.0,1.0,0.728,0.975
233,91.0,78.0,2.0,0.54,0.6
234,91.0,79.0,0.0,0.738,0.97
235,91.0,79.0,1.0,0.73,0.975
236,91.0,79.0,2.0,0.542,0.6
237,91.0,80.0,0.0,0.738,0.97
238,91.0,80.0,1.0,0.73,0.975
239,91.0,80.0,2.0,0.542,0.6
240,91.0,81.0,0.0,0.752,0.98
241,91.0,81.0,1.0,0.724,0.985
242,91.0,81.0,2.0,0.532,0.575
243,91.0,82.0,0.0,0.752,0.98
244,91.0,82.0,1.0,0.724,0.985
245,91.0,82.0,2.0,0.532,0.575
